category,fulltext
accountability,"A/RES/64/259 \n5 \n \n26. Stresses the need to focus on attaining results within approved mandates, \nwhich is ultimately the responsibility of the Secretary-General; \n \n27. Reaffirms its commitment to improving the effectiveness of the \noperational capacity of the Secretariat by the use of results-based management; \n \nI. \nResults-based management information system  \n \n28. Requests the Secretary-General to include in his report referred to in \nparagraph 33 below the results of his consultations to be undertaken with other \nentities that have implemented the enterprise resource planning systems to derive \nlessons learned regarding the contribution made by such systems to strengthening \naccountability, and concrete measures to strengthen managerial commitment in this \nregard for the better utilization of the system; \n \n29. Also requests the Secretary-General to include in his report referred to in \nparagraph 33 below concrete measures taken to ensure managerial commitment to \nutilize the full potential of the enterprise resource planning project in all aspects of \nthe performance of the Organization, including strengthening individual and \ninstitutional accountability; \n \nJ. \nEnterprise risk management and internal control framework  \n \n30. Emphasizes that the risk management should be dynamic, that it is the \ninherent responsibility of staff at all levels in the Secretariat, and that each \ndepartment is accountable for the risk assessment in the delivery of its respective \nmandate; \n \n31. Regrets the absence of an effective and integrated internal control \nframework, which is a serious gap in the existing accountability system, and \nrequests the Secretary-General to work on enhancing the current capabilities in the \nSecretariat responsible for risk assessment and mitigation and internal control, on \nthe basis of the recommendations in paragraphs 49 and 50 of the report of the \nAdvisory Committee on Administrative and Budgetary Questions2 and annex II to \nthe report of the Secretary-General;1 \n \nK. \nHow the current and proposed accountability mechanisms in the Secretariat \nwould have addressed the flaws in the management of the United Nations \noil-for-food programme \n \n32. Requests the Secretary-General, building on lessons learned as outlined \nin section K of his report,1 to include in his report referred to in paragraph 33 below \nconcrete measures to prevent potential conflict of interest in the current process \ngoverning procurement, and measures aimed at improving recovery actions; \n \nReporting \n \n33. Requests the Secretary-General to report to the General Assembly at the \nmain part of its sixty-sixth session on the implementation of the present resolution. \n \n81st plenary meeting \n29 March 2010 \n"
accountability," \nA/64/640\n \n65 \n10-22371 \n \n \n \nAssessment \n \n30. In the context of procurement reform, the Secretary-General introduced a \nnumber of measures to strengthen internal control and promote ethics, integrity, \nfairness and transparency in the procurement process, including the establishment of \nan independent mechanism to review challenges to procurement awards. Together \nwith the current policies on financial disclosure, conflict of interest prevention, \nwhistle-blower protection and an enterprise risk management framework, these \nmeasures would prevent, or mitigate, the recurrence of such a situation. \n \n \n \nExternal audit \n \n \n \nFindings \n \n31. Resources committed to audit the programme were inadequate in relation \nto its size. \n32. The scope of the audit by the Board of Auditors was narrowly defined, \nfocusing particularly on the accuracy of financial statements, while the internal \ncontrol environment of programme activity received little attention. \n33. External audits failed to audit and test some of the programme\xe2\x80\x99s most \ncritical areas \xe2\x80\x94 including pricing of oil and humanitarian goods \xe2\x80\x94 and to \nassess their impact on the programme\xe2\x80\x99s financial statements. \n \n \n \nAssessment \n \n34. The envisaged enterprise risk management approach would help to identify \nand mitigate risks. The Board of Auditors is an independent body and is solely \nresponsible for the conduct of its audits. However, Regulation 7.4 of the Financial \nRegulations and Rules of the United Nations (ST/SGB/2003/7) provides that the \naudits are to be conducted in conformity with generally accepted common auditing \nstandards and subject to any special directions of the General Assembly. Regulation \n7.7 further provides that the Advisory Committee on Administrative and Budgetary \nQuestions may request the Board of Auditors to perform certain specific \nexaminations. With a robust enterprise risk management framework, the General \nAssembly would benefit from the identification of high-risk areas, which could \nprovide additional guidance in identifying areas for possible special audits. \n \n"
accountability,"A/75/804 \n \n \n21-03167 \n8/8 \n \nSeptember 2019; the adoption by the Secretariat of its own climate action plan, which \nsets eight targets, including a 45 per cent reduction in the Secretariat\xe2\x80\x99s carbon \nfootprint by 2030; and the achievement in 2019 of the Secretariat\xe2\x80\x99s carbon neutrality \ncertificate for its global operations. \n23. The Advisory Committee trusts that environmental sustainability will \nextend to the entire United Nations Secretariat. The Committee recommends that \nthe General Assembly request the Secretary-General to include in future \nprogress reports specific information on outcomes, results and financial \nimplications, including costs and benefits for the United Nations Secretariat and \nfor peacekeeping operations. The Committee will continue to address the matter of \nenvironmental sustainability and management in various contexts, including in the \ncontext of its report on the proposed programme budget for 2022 and in its report on \nobservations and recommendations on cross-cutting issues related to peacekeeping \noperations, as well as in its reports on individual peacekeeping missions. \n \n \n6. \nImpact of the coronavirus disease (COVID-19) pandemic \n \n24. As described in the report of the Secretary-General, the onset of the COVID-19 \npandemic in 2020 has impacted the progress in some accountability-related measures, \nsuch as the implementation of the second phase of the agile performance management \npilot, which was temporarily delayed but has now proceeded (A/75/686, para. 32). \nThe Secretary-General also indicates that the Secretariat plans to engage with the \nmain groups of Member States on the format of the proposed programme budget for \n2022 and that the respective budget proposals and performance reports will \nincorporate information on the impact of the liquidity crisis and the impact of the \nCOVID-19 pandemic during 2020, as per General Assembly resolutions 75/243 and \n75/252. The Committee was furthermore informed that the COVID-19-related impact \non the accountability efforts and their progress was a result of the change of working \nmethods, with mandatory telecommuting, as well as the need to redirect internal \nhuman resources capacity to address a number of urgent administrative needs \nregarding COVID-19, such as the preparation of new COVID-19-related \nadministrative guidelines and policy guidance. \n25. The Advisory Committee recalls its comments and recommendations on the \nimpact of the COVID-19 pandemic in its first report on the proposed programme \nbudget for 2021, including its request that the Secretary-General provide more \ninformation on the impact of the pandemic in the next proposed programme budget, \ninter alia, on lessons learned, best practices, efficiency measures, harmonization and \ncooperation across the United Nations system (A/75/7, chap. I, paras. 12\xe2\x80\x9315). \n \n \n \nIII. Recommendations \n \n \n26. The action requested by the Secretary-General to be taken by the General \nAssembly is set out in paragraph 115 of the report of the Secretary-General. With \nrespect to the evaluation of the United Nations accountability system, currently \nconducted by the Office of Internal Oversight Services and to be concluded in \nJune 2021, the Advisory Committee recommends that the General Assembly \nrequest the Secretary-General to present the findings, including any financial \nimplications, in the eleventh progress report on the accountability system. \nSubject to its observations and recommendations in the paragraphs above, the \nCommittee recommends that the Assembly request the Secretary-General to \npresent in future progress reports, the specific outcomes (including specific \ninstances when staff and senior managers were held accountable and the \nresulting actions), quantitative and qualitative results, and associated costs, as \nthey pertain to the various components of the accountability system. \n \n"
accountability,"A/72/773 \n \n \n18-03255 \n42/42 \n \n \n \nAction 5. Evaluating, reviewing and updating the results-based management \nframework and its implementation  \n \n16. An independent evaluation of the progress made in the implementation of \nresults-based management in the Secretariat and the achievement and impact of this \naction plan will be undertaken at the end of its four-year cycle. The evaluation will \nbe presented to Member States to decide jointly with the Secretariat the future actions \nrelated to the implementation of results-based management.  \n17. To achieve that objective, the activity set out in table 5 is being proposed.  \n \n \n \nTable 5  \nDetailed activity for the achievement of action 5  \n \nDetailed activity  \nResponsible entity \nImplementation dates \n \n \n \nAn independent evaluation of the results of \nthis action plan will be undertaken at the \nend of 2021 to assess the implementation \nof results-based management and to design \nfurther actions for its future evolution \nDepartment of Management \nStrategy, Policy and \nCompliance \nFourth quarter 2021 \n \n \n \n \n"
accountability,"A/RES/61/275 \n6 \n \n(c) \nAn understanding of internal control, risk management and procedures \nfor financial reporting; \n \n(d) \nA general understanding of the organization, structure and functioning of \nthe United Nations. \n12. Former senior United Nations Secretariat officials shall not be eligible for \nappointment to the Committee for five years following their separation from service. \nThe members of the Committee shall not be eligible for appointment in the \nSecretariat for  five years following  the expiry of their terms. \n \nIdentification and selection \n13. Members of the Committee shall be nominated by Member States and shall be \nappointed by the General Assembly, preferably from a compendium of at least ten \nsuitably qualified candidates, with due regard being paid to equitable geographic \nrepresentation. Before nominating candidates, Member States are recommended to \nevaluate their candidates and attest to their qualifications on the basis of \nparagraph 11 above on the criteria for membership in the Committee through \nconsultation with an international organization with relevant expertise in the \nfunctions performed by audit and oversight organizations, such as the International \nOrganization of Supreme Audit Institutions, and to make this information available \nto Member States. \n"
accountability,"ST/AI/2021/3 \n \n \n21-11077 \n6/6 \n \n \n(b) \nEnsure the integration of respect for gender equality and disability \ninclusion in evaluation procedures and practices; \n \n(c) \nUse qualified external and internal evaluators with relevant professional \ncompetencies and experience, including evaluators from the roster developed and \nmaintained by the Inspection and Evaluation Division where in-house capacity is \nlacking; \n \n(d) \nEnsure that appropriate mechanisms are in place for management to monitor \nand respond to evaluation recommendations, including outlining concrete actions that \nare to be undertaken, and to follow up on recommendation implementation;   \n \n(e) \nConduct joint evaluations with other Secretariat entities on cross-cutting \nareas, including those that contribute to the implementation of the Sustainable \nDevelopment Goals, with coordination by the Inspection and Evaluation Division as \nrequired. \n \n \n \n Section 6 \n \n Resources \n \n \n6.1 \nHeads of entities shall ensure adequate capacity and resources to manage and \nconduct evaluations and provide effective quality assurance. Heads of entities shall also \nensure that there is adequate capacity to deliver these key roles. Some of these services \nmay be provided directly by the entity itself, or they may be provided through other \narrangements such as consultancies or long-term agreements with centres of excellence.2 \n6.2 Secretariat entities shall take into consideration the general view of the Joint \nInspection Unit that funding for evaluation activities should fall within the range of \n0.5 to 3 per cent of entity expenditure, depending on the mandate of the entity, its \nsize, types of evaluation undertaken and the role of evaluation in the entity \n(JIU/REP/2014/6, para. 77).  \n \n \n \n Section 7 \n \n Implementation, reporting and review \n \n \n7.1 The present instruction will come into force at the time of its issuance.  \n7.2  In accordance with rules 107.2 and 107.3 of the Regulations and Rules Governing \nProgramme Planning, the Programme Aspects of the Budget, the Monitoring of \nImplementation and the Methods of Evaluation, the Inspection and Evaluation Division \nof OIOS, as the central evaluation unit, will provide further guidance, with support from \nthe Business Transformation and Accountability Division of the Department of \nManagement Strategy, Policy and Compliance, on the implementation of the present \ninstruction. Nothing in the instruction shall be construed as limiting the operational \nindependence of OIOS with regard to its mandated activities. \n7.3 The instruction will be reviewed two years from the date of issuance. \n \n \n(Signed) Catherine Pollard \nUnder-Secretary-General for Management Strategy, \nPolicy and Compliance \n \n__________________ \n \n2  Centres of excellence include research institutions, academic institutions and the like that have \nevaluation expertise and could provide evaluation services to Secretariat entities. \n"
accountability,"A/73/688 \n \n \n18-22826 \n30/30 \n \nParagraph \nText of resolution \nCoverage in the \npresent report \nComments \n \n \n \n \n17 \nStresses the need for the Secretary-General to \naddress the deficiencies in the current system \nof delegation of authority through the \npromulgation of well-defined roles and \nresponsibilities of individuals at all levels to \nwhom authority is delegated, systemic \nreporting mechanisms on monitoring and \nexercise of delegated authority, risk mitigation \nand safeguard measures, and actions to be \ntaken in cases of mismanagement or abuse of \nauthority \nSection II, \nparagraph 14\xe2\x80\x93\n18 \nDetails on progress are provided in \nthe present report \n18 \nNotes the measures taken to strengthen senior \nmanagers\xe2\x80\x99 compacts, and requests the \nSecretary-General to include information on \nthe effectiveness of these compacts as \ninstruments of accountability in the context of \nfuture progress reports on accountability in the \nUnited Nations Secretariat \nSection III, \nparagraphs 42\xe2\x80\x93\n46 \nDetails on progress are provided in \nthe present report \n19 \nRecalls paragraph 19 of its resolution 71/283, \nand requests the Secretary General to include \nin future progress reports an overview of the \nstatus of accountability in the Secretariat, \nincluding information on the impact of \nspecific accountability measures \nSection III and \nsupplementary \ninformation for \nthe present \nreport \nIf the General Assembly agrees that \nthis report format provides greater \ntransparency, it will be included in \nfuture reports on strengthening the \naccountability system \n \n"
accountability," \nA/71/729 \n \n23/23 \n16-22682 \n \nAnnex II \n \n \n Cases of misconduct and related disciplinary actions  \n(1 July 2015 to 30 June 2016) \n \n \n \n \nType of disciplinary action taken \n \n \n \nCategory of misconduct \nDismissal \nSeparation \nfrom service \nOther disciplinary measures, \nincluding demotion/loss of \nstep(s)/fine/censure  \nTotal No. \nof incidents \nTotal No. \nof staff \n \n \n \n \n \n \n \n1 \nAbuse of authority, harassment and discrimination \n \n \n1 \n1 \n1 \n2 \nSexual exploitation and abuse \n2 \n1 \n \n3 \n3 \n3 \nAssault and abusive conduct \n1 \n9 \n1 \n10 \n11 \n4 \nFraud or misrepresentation \n2 \n14 \n4 \n20 \n20 \n5 \nTheft or misappropriation \n6 \n8 \n1 \n13 \n15 \n6 \nMisuse of United Nations assets \n \n1 \n4 \n5 \n5 \n7 \nUnauthorized outside activities \n \n1 \n3 \n4 \n4 \n8 \nViolation of local laws \n1 \n \n1 \n2 \n2 \n9 \nFailure to honour private obligations \n \n \n1 \n1 \n1 \n10 Other \n \n2 \n3 \n4 \n5 \n \nTotal \n12 \n36 \n19 \n63 \n67 \n \n \n \n"
accountability," \nA/72/492/Add.1 \n \n99/99 \n17-16667 \n \n \n \nTable 3  \n \n \nUnforeseen and extraordinary expenses utilized in the year ended 31 December 2020 \n(Thousands of United States dollars) \n \n \nSection 2, General Assembly and Economic and Social Council affairs and conference \nmanagement \n \nReview of the United Nations peacebuilding architecturea \n 141.0  \n \nSubtotal  \n 141.0  \nSection 3, Political affairs \n  \nReview of the United Nations peacebuilding architecturea \n 1 485.5  \nCoordinator of the United Nations Headquarters response to the regional impact of Boko Haram b \n 154.4  \nOffice of the Special Envoy of the Secretary-General for Yemenb \n 287.4  \nAdditional staffing requirements for the United Nations Office in Burundic \n 2 600.0  \nDelegate of the Secretary-General to the subcommission on end-of-conflict issues within the \nColombian peace processb \n 150.0  \nUnited Nations System-wide Senior Coordinator on Burundib \n 236.3  \nSpecial Adviser to the Secretary-Generalb \n 293.8  \n \nSubtotal  \n 5 207.4  \nSection 4, Disarmament \n \nEstablishment of the Organization for the Prohibition of Chemical Weapons- \nUnited Nations Joint Investigative Mechanismb \n 1 051.2  \n \nSubtotal  \n 1 051.2  \nSection 24, Human rights \n \nIndependent International Commission of Inquiry on the Syrian Arab Republic a \n 3 708.5  \nHuman rights investigation mission to Libyaa \n 820.6  \nMission to collect information and report on atrocities committed by the terrorist group Boko \nHaram and its effect on human rights in the affected countries a \n 148.9  \n \nSubtotal  \n 4 678.0  \nSection 27, Humanitarian assistance \n \nHumanitarian monitoring mechanism in the Syrian Arab Republic a \n 5 429.5  \n \nSubtotal \n 5 429.5  \nSection 29D, Office of Central Support Services \n \nReview of the United Nations peacebuilding architecturea \n 45.3  \n \nSubtotal  \n 45.3  \n \nTotal \n 16 552.4  \n \n \na Authorized by the Secretary-General with the concurrence of the Advisory Committee on Administrative and \nBudgetary Questions. \n \nb Authorized by the Secretary-General. \n \nc Authorized by the Secretary-General with the concurrence of the Advisory Committee ($1.5 million), and \nauthorized by the Secretary-General ($1.1 million). \n \n"
accountability,"A/72/492/Add.2 \n \n \n18-04386 \n246/246 \n \nCategory \nOther assessed \n \n \n \nP-2/1 \n 2  \n \nSubtotal \n 10  \nGeneral Service  \n \n \nPrincipal level \n \xe2\x80\x93  \n \nOther level \n 10  \n \nSubtotal \n 10  \n \nTotal \n 20  \n \n \n79. Under other assessed funding, post and non-post requirements amounting to \n$3,327,900 under the support account will provide for the following: (a) 20 posts \n(5 P-4, 3 P-3, 2 P-2, 10 General Service (Other level)) which were previously \napproved by the General Assembly in the Information and Communications \nTechnology Division and the Office of Information and Communications Technology; \nthe posts will carry out functions similar to those that were approved; and (b) related \nnon-post resources for the component for the period from 1 January to 30 June 2019 \nas proposed in the support account budget for the 2018/19 period. \n \n"
